 2016-06-09 11:23:40,730 [P254560/D3/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on WINDEV2008
 2016-06-09 11:24:18,252 [P254560/D3/T95] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 1ms)
 2016-06-09 11:24:18,379 [P254560/D3/T132] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:24:18,381 [P254560/D3/T132] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 1ms)
 2016-06-09 11:24:18,382 [P254560/D3/T61] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-06-09 11:24:18,383 [P254560/D3/T61] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 1ms)
 2016-06-09 11:24:18,407 [P254560/D3/T132] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-06-09 11:24:18,407 [P254560/D3/T132] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 0ms)
 2016-06-09 11:24:18,411 [P254560/D3/T132] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:24:18,412 [P254560/D3/T132] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 0ms)
 2016-06-09 11:24:54,195 [P254560/D3/T70] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-06-08 11:24:54
 2016-06-09 11:24:54,248 [P254560/D3/T125] INFO  umbraco.content - Load Xml from file...
 2016-06-09 11:24:54,248 [P254560/D3/T125] INFO  umbraco.content - Loaded Xml from file.
 2016-06-09 11:28:53,872 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-06-09 11:28:53,872 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-06-09 11:28:53,874 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-06-09 11:28:53,874 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-06-09 11:28:53,877 [P254560/D3/T51] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-06-09 11:28:53,877 [P254560/D3/T42] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-06-09 11:28:53,932 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-06-09 11:28:53,932 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-06-09 11:28:53,932 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-06-09 11:28:53,932 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-06-09 11:28:53,933 [P254560/D3/T110] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-06-09 11:28:53,933 [P254560/D3/T113] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-06-09 11:28:53,942 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-06-09 11:28:53,942 [P254560/D3/T30] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-06-09 11:28:53,943 [P254560/D3/T53] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-06-09 11:29:04,890 [P254560/D6/T173] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on WINDEV2008
 2016-06-09 11:29:04,939 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-09 11:29:04,954 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Hash determined (took 14ms)
 2016-06-09 11:29:05,068 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-09 11:29:05,382 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 314ms)
 2016-06-09 11:29:05,419 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-09 11:29:05,427 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 8ms)
 2016-06-09 11:29:05,428 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-09 11:29:05,437 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 8ms)
 2016-06-09 11:29:05,463 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-09 11:29:05,470 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 6ms)
 2016-06-09 11:29:05,470 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-09 11:29:05,490 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 19ms)
 2016-06-09 11:29:05,546 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-09 11:29:05,553 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 6ms)
 2016-06-09 11:29:05,553 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-09 11:29:05,559 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 6ms)
 2016-06-09 11:29:07,737 [P254560/D6/T173] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:08,244 [P254560/D6/T173] INFO  Epiphany.SeoMetadata.SeoMetadataStartup - Configured SeoMetadataUrlSegmentProvider
 2016-06-09 11:29:08,353 [P254560/D6/T173] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:08,503 [P254560/D6/T173] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2016-06-09 11:29:08,536 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-06-09 11:29:08,547 [P254560/D6/T173] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 10ms)
 2016-06-09 11:29:09,049 [P254560/D6/T173] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:09,091 [P254560/D6/T173] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-09 11:29:09,123 [P254560/D6/T173] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-09 11:29:09,125 [P254560/D6/T173] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-06-09 11:29:09,141 [P254560/D6/T173] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4479ms)
 2016-06-09 11:29:10,150 [P254560/D6/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://dev-liam.useconnect.co.uk:80/umbraco (UmbracoModule request)
 2016-06-09 11:29:13,989 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-06-09 11:29:14,004 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 14ms)
 2016-06-09 11:29:15,562 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-06-09 11:29:15,581 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 18ms)
 2016-06-09 11:29:16,034 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-06-09 11:29:16,055 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 21ms)
 2016-06-09 11:29:19,877 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IPackageAction
 2016-06-09 11:29:19,894 [P254560/D6/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IPackageAction, found 0 (took 17ms)
 2016-06-09 11:29:19,909 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-06-09 11:29:19,909 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-06-09 11:29:19,914 [P254560/D6/T158] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-06-09 11:29:19,918 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Terminating
 2016-06-09 11:29:19,918 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Waiting for tasks to complete
 2016-06-09 11:29:19,918 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-06-09 11:29:19,918 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-06-09 11:29:19,919 [P254560/D6/T107] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledPublishing] Tasks completed, terminated
 2016-06-09 11:29:19,919 [P254560/D6/T167] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-06-09 11:29:19,950 [P254560/D6/T10] INFO  umbraco.content - Loading content from database...
 2016-06-09 11:29:20,073 [P254560/D6/T10] INFO  umbraco.content - Loading content from database...
 2016-06-09 11:29:20,125 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Terminating
 2016-06-09 11:29:20,125 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Waiting for tasks to complete
 2016-06-09 11:29:20,126 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Terminating
 2016-06-09 11:29:20,126 [P254560/D6/T151] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Waiting for tasks to complete
 2016-06-09 11:29:20,126 [P254560/D6/T141] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [KeepAlive] Tasks completed, terminated
 2016-06-09 11:29:20,126 [P254560/D6/T44] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [Umbraco.Web.Scheduling.IBackgroundTask] Tasks completed, terminated
 2016-06-09 11:29:20,745 [P254560/D8/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.4.3 application starting on WINDEV2008
 2016-06-09 11:29:20,795 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-09 11:29:20,810 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 15ms)
 2016-06-09 11:29:20,917 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-09 11:29:20,953 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 35ms)
 2016-06-09 11:29:20,998 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-09 11:29:21,001 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2016-06-09 11:29:21,002 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-09 11:29:21,008 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 6ms)
 2016-06-09 11:29:21,033 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-09 11:29:21,034 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-06-09 11:29:21,035 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-09 11:29:21,043 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 8ms)
 2016-06-09 11:29:21,105 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-09 11:29:21,106 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-06-09 11:29:21,106 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-09 11:29:21,107 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-06-09 11:29:23,351 [P254560/D8/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:23,859 [P254560/D8/T1] INFO  Epiphany.SeoMetadata.SeoMetadataStartup - Configured SeoMetadataUrlSegmentProvider
 2016-06-09 11:29:23,977 [P254560/D8/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:23,991 [P254560/D3/T148] INFO  Umbraco.Core.UmbracoApplicationBase - Application shutdown. Details: CodeDirChangeOrDirectoryRename

_shutDownMessage=Change Notification for critical directories.
App_Code dir change or directory rename
HostingEnvironment initiated shutdown
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
bin dir change or directory rename
Change Notification for critical directories.
bin dir change or directory rename
Change Notification for critical directories.
bin dir change or directory rename
Change Notification for critical directories.
App_Code dir change or directory rename
Change Notification for critical directories.
bin dir change or directory rename
Change in C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Temporary ASP.NET Files\root\9c2a7bf9\51ab06ae\hash\hash.web
Change in C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Temporary ASP.NET Files\root\9c2a7bf9\51ab06ae\hash\hash.web
CONFIG change
CONFIG change
HostingEnvironment caused shutdown

_shutDownStack=   at System.Environment.GetStackTrace(Exception e, Boolean needFileInfo)
   at System.Environment.get_StackTrace()
   at System.Web.Hosting.HostingEnvironment.InitiateShutdownInternal()
   at System.Web.HttpRuntime.ShutdownAppDomain(String stackTrace)
   at System.Web.HttpRuntime.OnCriticalDirectoryChange(Object sender, FileChangeEvent e)
   at System.Web.FileChangesMonitor.OnCriticaldirChange(Object sender, FileChangeEvent e)
   at System.Web.DirectoryMonitor.FireNotifications()
   at System.Web.Util.WorkItem.CallCallbackWithAssert(WorkItemCallback callback)
   at System.Threading.ExecutionContext.RunInternal(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.ExecutionContext.Run(ExecutionContext executionContext, ContextCallback callback, Object state, Boolean preserveSyncCtx)
   at System.Threading.QueueUserWorkItemCallback.System.Threading.IThreadPoolWorkItem.ExecuteWorkItem()
   at System.Threading.ThreadPoolWorkQueue.Dispatch()
 2016-06-09 11:29:24,143 [P254560/D8/T1] INFO  Umbraco.Forms.Core.Cache.CacheEventHandler - Initializing Umbraco Forms Events to trigger Cache Refreshers
 2016-06-09 11:29:24,170 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-06-09 11:29:24,173 [P254560/D8/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 2ms)
 2016-06-09 11:29:24,665 [P254560/D8/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-09 11:29:24,706 [P254560/D8/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-09 11:29:24,741 [P254560/D8/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-09 11:29:24,742 [P254560/D8/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-06-09 11:29:24,758 [P254560/D8/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4241ms)
 2016-06-09 11:29:26,117 [P254560/D8/T156] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://dev-liam.useconnect.co.uk:80/umbraco (UmbracoModule request)
 2016-06-09 11:29:26,953 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ICacheRefresher
 2016-06-09 11:29:26,954 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 0 (took 1ms)
 2016-06-09 11:29:27,146 [P254560/D8/T156] INFO  umbraco.content - Load Xml from file...
 2016-06-09 11:29:27,146 [P254560/D8/T156] INFO  umbraco.content - Loaded Xml from file.
 2016-06-09 11:29:27,157 [P254560/D8/T156] INFO  umbraco.content - Loading content from database...
 2016-06-09 11:29:28,312 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplication
 2016-06-09 11:29:28,313 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplication, found 0 (took 1ms)
 2016-06-09 11:29:28,416 [P254560/D8/T156] INFO  Umbraco.Core.Configuration.ClientDependencyConfiguration - Updated version number from 1326987387 to 417694163
 2016-06-09 11:29:28,427 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.ITree
 2016-06-09 11:29:28,452 [P254560/D8/T176] INFO  umbraco.content - Save Xml to file...
 2016-06-09 11:29:28,464 [P254560/D8/T162] INFO  umbraco.content - Saved Xml to file.
 2016-06-09 11:29:28,476 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.ITree, found 0 (took 50ms)
 2016-06-09 11:29:28,478 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Terminating
 2016-06-09 11:29:28,478 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Waiting for tasks to complete
 2016-06-09 11:29:28,478 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Terminating
 2016-06-09 11:29:28,478 [P254560/D8/T19] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Waiting for tasks to complete
 2016-06-09 11:29:28,480 [P254560/D8/T113] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [ScheduledTasks] Tasks completed, terminated
 2016-06-09 11:29:28,480 [P254560/D8/T36] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [LogScrubber] Tasks completed, terminated
 2016-06-09 11:29:28,507 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Trees.TreeController
 2016-06-09 11:29:28,520 [P254560/D8/T156] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Trees.TreeController, found 0 (took 14ms)
